traffic_date,traffic_time,ROUTE_ID,speed_kmh,valid,rain_obs_time,rain_est_mm_1h,rain_stations_used,rain_weight_used,baseline_type,baseline_time_bin,baseline_median_kmh,baseline_p25_kmh,baseline_p75_kmh,baseline_days,baseline_label,speed_diff_kmh,speed_diff_pct
2026-09-19,21:37:00,107818,45.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,43.45,43.12,43.77,2,Provisional,2.05,4.7
2026-09-19,21:37:00,107819,34.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,34.8,34.35,35.25,2,Provisional,-0.1,-0.3
2026-09-19,21:37:00,107850,32.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,31.5,31.3,31.7,2,Provisional,0.8,2.5
2026-09-19,21:37:00,107907,56.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,58.2,58.1,58.3,2,Provisional,-1.8,-3.1
2026-09-19,21:37:00,107908,41.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,47.95,46.98,48.92,2,Provisional,-6.65,-13.9
2026-09-19,21:37:00,107909,59.9,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999991,dow,43,61.8,61.6,62.0,2,Provisional,-1.9,-3.1
2026-09-19,21:37:00,107910,42.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,49.1,48.25,49.95,2,Provisional,-6.5,-13.2
2026-09-19,21:37:00,107918,37.7,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999989,dow,43,36.65,36.18,37.12,2,Provisional,1.05,2.9
2026-09-19,21:37:00,107920,42.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,42.55,42.12,42.98,2,Provisional,-0.05,-0.1
2026-09-19,21:37:00,107921,37.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,38.65,38.62,38.68,2,Provisional,-0.95,-2.5
2026-09-19,21:37:00,107922,48.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000007,dow,43,48.55,47.98,49.12,2,Provisional,0.15,0.3
2026-09-19,21:37:00,107923,34.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,34.8,34.8,34.8,2,Provisional,0.0,0.0
2026-09-19,21:37:00,107924,48.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000004,dow,43,48.45,47.38,49.52,2,Provisional,0.35,0.7
2026-09-19,21:37:00,107925,39.3,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999996,dow,43,47.3,46.2,48.4,2,Provisional,-8.0,-16.9
2026-09-19,21:37:00,107926,53.6,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999998,dow,43,53.7,52.9,54.5,2,Provisional,-0.1,-0.2
2026-09-19,21:37:00,107927,42.1,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999996,dow,43,46.5,46.35,46.65,2,Provisional,-4.4,-9.5
2026-09-19,21:37:00,107928,40.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000002,dow,43,48.05,47.02,49.08,2,Provisional,-7.55,-15.7
2026-09-19,21:37:00,107929,48.8,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999997,dow,43,48.45,47.38,49.52,2,Provisional,0.35,0.7
2026-09-19,21:37:00,107930,58.2,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999997,dow,43,58.45,57.33,59.58,2,Provisional,-0.25,-0.4
2026-09-19,21:37:00,107931,66.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,65.8,65.5,66.1,2,Provisional,0.6,0.9
2026-09-19,21:37:00,107936,52.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,55.0,55.0,55.0,2,Provisional,-3.0,-5.5
2026-09-19,21:37:00,107937,48.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999999,dow,43,49.0,47.5,50.5,2,Provisional,-1.0,-2.0
2026-09-19,21:37:00,107995,31.5,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,31.8,31.55,32.05,2,Provisional,-0.3,-0.9
2026-09-19,21:37:00,107996,40.9,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999991,dow,43,40.75,40.42,41.08,2,Provisional,0.15,0.4
2026-09-19,21:37:00,107997,36.4,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,36.7,36.7,36.7,2,Provisional,-0.3,-0.8
2026-09-19,21:37:00,108023,50.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999997,dow,43,50.7,50.55,50.85,2,Provisional,-0.7,-1.4
2026-09-19,21:37:00,108025,44.6,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,42.6,42.1,43.1,2,Provisional,2.0,4.7
2026-09-19,21:37:00,108027,42.3,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,42.45,42.23,42.67,2,Provisional,-0.15,-0.4
2026-09-19,21:37:00,108028,33.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.000000000000001,dow,43,32.3,31.55,33.05,2,Provisional,0.9,2.8
2026-09-19,21:37:00,108040,39.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,45.05,44.77,45.33,2,Provisional,-5.25,-11.7
2026-09-19,21:37:00,108041,53.6,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999996,dow,43,53.75,52.98,54.52,2,Provisional,-0.15,-0.3
2026-09-19,21:37:00,108042,43.2,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999996,dow,43,47.3,47.15,47.45,2,Provisional,-4.1,-8.7
2026-09-19,21:37:00,108043,41.8,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0000000000000004,dow,43,48.7,47.75,49.65,2,Provisional,-6.9,-14.2
2026-09-19,21:37:00,108044,49.0,Y,2026-09-19T21:15:00+08:00,0.0,3,0.9999999999999996,dow,43,48.6,47.55,49.65,2,Provisional,0.4,0.8
2026-09-19,21:37:00,108045,58.0,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,58.05,56.98,59.12,2,Provisional,-0.05,-0.1
2026-09-19,21:37:00,108046,66.2,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,65.55,65.23,65.88,2,Provisional,0.65,1.0
2026-09-19,21:37:00,108047,44.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,44.45,44.08,44.83,2,Provisional,0.25,0.6
2026-09-19,21:37:00,108048,38.7,Y,2026-09-19T21:15:00+08:00,0.0,3,1.0,dow,43,39.1,39.1,39.1,2,Provisional,-0.4,-1.0
